Country,ISO3.Code,LAT,LON,Value.Feed.1992,Value.Feed.1993,Value.Feed.1994,Value.Feed.1995,Value.Feed.1996,Value.Feed.1997,Value.Feed.1998,Value.Feed.1999,Value.Feed.2000,Value.Feed.2001,Value.Feed.2002,Value.Feed.2003,Value.Feed.2004,Value.Feed.2005,Value.Feed.2006,Value.Feed.2007,Value.Feed.2008,Value.Feed.2009,Value.Feed.2010,Value.Feed.2011,Value.Feed.2012,Value.Feed.2013
China,CPR,36.6094323800447,103.865365256658,344881,445637,549303,750812,847430,1048295,1250887,2049532,4057903,5551054,6057685,5561230,2554577,3864123,5649313,6917221,7248859,11040541,14001612,26777638,25850471,26694259
India,IND,22.9250064074085,79.5937037632538,688000,687000,718000,786000,745000,832000,796000,855000,916477,896187,921665,1047143,1097959,1184979,1282379,1334237,1450264,1616876,1815855,1911228,1897631,1870433
United States of America,USA,39.5015541259931,-99.0602406280213,5269000,7395000,9375912,4183000,8371642,6817608,10649620,7846373,8164000,4953000,3157000,5524000,4953000,4354000,3186900,435500,6260000,4898700,3619728,4898000,9942956,6196219
Russian Federation,RUS,61.6925647074082,99.2165267869251,34679712,21298710,9026322,6788053,10790160,10512420,11264340,8480451,10036850,18887600,9531608,5949566,15626620,11544040,10334700,7445302,24273590,17562170,3531007,6711180,3285294,8141776
France,FRA,46.6064633728632,2.33908864602935,5503000,7402000,8665000,9878000,9774000,9467000,9973000,10459000,11557000,11991000,11683000,9382000,9867000,11311000,10091000,8483000,10283000,8351000,6262000,7727000,7179000,7822000
Canada,CAN,57.7487688035733,-101.569822125212,3944000,5584000,3977000,3974000,4398000,3588000,4161000,4268000,3447000,3342000,4066100,3442000,5095000,4152000,4150200,2199300,2196500,2628700,1724500,3337900,3410000,3731000
Germany,DEU,51.1337226904078,10.2884850927429,4638000,6522000,7026000,7909000,7246000,7332000,8369000,6556000,8466000,8356000,8624329,7211000,8006000,11084000,10644000,8993000,10669000,10608270,8189000,9242000,7868000,7494000
Australia,AUS,-25.5607640622395,134.376078573618,1500000,1700000,1000000,1626000,904000,1385000,1641000,1930000,2000000,2100000,2700000,2550000,3060000,3788000,4501000,3498000,4134000,1940000,3764000,2455000,3134000,3200000
Pakistan,PAK,29.9734600255474,69.4139980631813,314000,323000,304000,340000,338000,333000,374000,357000,422000,380000,365000,384000,390000,432000,425500,466000,419000,480660,466216,505000,469900,485000
Turkey,TUR,38.990729727953,35.3921024579343,600000,600000,1000000,1000000,1000000,900000,1000000,1000000,2020157,1883748,1979168,1932410,2022697,425200,427400,351323,362370,424683,404441,448403,411075,211165
Ukraine,UKR,48.9730179682021,31.3695330803563,6614500,6904000,7446500,6103600,4240000,3671200,5412400,4000000,2986000,4981600,6343000,1600000,5000000,5536000,4050000,4050000,7250000,3000000,4100000,6300000,4098000,4169000
United Kingdom,GBR,53.8833587148482,-2.65799297938563,4530000,4576000,5371000,5213000,5346000,5955000,6117000,6371000,6483000,6626000,6478000,6708000,6627000,7002000,6867000,6611000,6238000,6557000,6389000,6268000,6807000,6632000
Argentina,ARG,-35.2201719959357,-65.149543390921,100000,300000,200000,200000,450000,350000,100000,80000,100000,100000,85000,50000,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,48.1916620924959,67.2846086074656,1929000,1075000,883500,864000,816000,334800,152000,312400,1083000,1278000,1260000,1455000,1900000,1800000,1800000,1800000,1400000,2000000,1000000,2700000,1170000,1542000
Iran (Islamic Republic of),IRN,32.5189173176254,54.2854514968914,1000000,1200000,1200000,2500000,2000000,2500000,2500000,2000000,1500000,2000000,2500000,1500000,1500000,1500000,2000000,1500000,800000,1000000,800000,500000,500000,500000
Poland,POL,52.1482602193319,19.3110143084487,3543300,2990800,3302500,3600000,3500000,3800000,4110000,4100000,3900000,3950000,3435000,2000000,3200000,2300000,1500000,3494000,3486000,3324000,3877000,3600000,3129000,2600000
Romania,ROU,45.857101035738,24.9432524946354,1200000,987000,775000,600000,540000,825000,957000,821000,657525,637799,660767,633968,988848,1167514,1139940,1000000,850000,807500,710600,646646,491451,520938
Morocco,MAR,29.8853946983021,-8.42047954454964,200000,200000,200000,250000,150000,150000,300000,300000,150000,300000,300000,300000,400000,350000,600000,450000,700000,1100000,1000000,1300000,1100000,2000000
Italy,ITA,43.472476107586,12.2194764873985,1500000,1650000,1250000,1280000,1450000,1300000,1500000,1300000,1400000,1400000,1500000,1200000,1700000,1500000,1400000,1400000,1600000,1350000,1720000,1636000,1865000,1680000
Egypt,EGY,26.5066199997495,29.8444615131244,892620,838764,993099,1115000,1210000,1320000,1220000,1180000,1240000,1330000,1360000,1310000,1380000,1610000,3630000,3650000,3800000,3940000,4023000,4170000,3800000,4860000
Spain,ESP,40.3486561062267,-3.61702060238737,1196700,1183900,1663500,1522900,2286000,3243800,3853000,3747700,3747700,4126600,4721700,5183365,5700000,5900000,5700000,5400000,5500000,5200000,5000000,5500000,5000000,5800000
