Country,ISO3.Code,LAT,LON,Value.Seed.1992,Value.Seed.1993,Value.Seed.1994,Value.Seed.1995,Value.Seed.1996,Value.Seed.1997,Value.Seed.1998,Value.Seed.1999,Value.Seed.2000,Value.Seed.2001,Value.Seed.2002,Value.Seed.2003,Value.Seed.2004,Value.Seed.2005,Value.Seed.2006,Value.Seed.2007,Value.Seed.2008,Value.Seed.2009,Value.Seed.2010,Value.Seed.2011,Value.Seed.2012,Value.Seed.2013
China_mainland,CHN,36.6094323800447,103.865365256658,4590000,5100000,4900000,5120000,5100000,5200000,5050000,5100000,5000000,4800000,4400000,4500000,4800000,4600000,4130000,4100000,4400000,4690000,4690000,4690000,4580000,4600000
India,IND,22.9250064074085,79.5937037632538,2459000,2515000,2570000,2500000,2588700,2669600,2752300,2748600,2573060,2634470,2519570,2659470,2638290,2648360,2799450,2803860,2775240,2845740,2906860,2986000,2965000,3060000
United States of America,USA,39.5015541259931,-99.0602406280213,2697000,2621000,2422000,2816856,2784197,2517480,2190888,2498429,2171987,2223234,2280700,2177000,2122000,2123000,2228990,2384100,2122800,1989417,1978603,1929614,1990464,2096087
Russian Federation,RUS,61.6925647074082,99.2165267869251,6415000,5770000,6216000,6684000,7100000,6500000,5985000,6033000,6179000,6672000,5753000,6247000,6604000,6146000,6345000,6920000,7461000,6920000,6643000,6417000,6516000,6500000
France,FRA,46.6064633728632,2.33908864602935,675000,738000,798000,817000,807000,809000,795000,803000,753000,798000,764000,754000,772000,744000,738000,772000,747000,747000,730000,775000,743000,748000
Canada,CAN,57.7487688035733,-101.569822125212,1230500,1048600,1081000,1186000,1098000,1036000,995000,1069000,1045000,1019000,1043700,1014000,946000,970000,868600,918800,985100,961300,861200,873700,952100,1030900
Germany,DEU,51.1337226904078,10.2884850927429,471000,436000,442000,468000,469000,493000,473000,537000,523000,543000,535000,562000,582000,514000,560000,558000,574000,551000,524000,524000,500000,571000
Australia,AUS,-25.5607640622395,134.376078573618,377000,360000,437000,492000,486000,519000,548000,546000,519000,503000,558000,670000,622000,590000,629000,677000,694000,675000,695000,662000,676000,631000
Pakistan,PAK,29.9734600255474,69.4139980631813,765000,889000,837000,935000,1000000,916000,1028000,982000,1160000,1046000,1000000,1055000,1072000,1189000,1170000,1281000,1152734,1322000,1282094,1400000,1291000,1333000
Turkey,TUR,38.990729727953,35.3921024579343,1770000,1770000,1960000,1880000,1870000,1800000,1700000,1700000,1683000,1674000,1638000,1674000,1665000,1528200,1457600,1457586,1456200,1458000,1458612,1457280,1355335,1399068
Ukraine,UKR,48.9730179682021,31.3695330803563,1553000,1230000,1487000,1908000,2056000,1859000,1632000,1220000,1350000,1920000,763000,1418000,1666000,1396000,1572000,1780000,1713000,1613000,1695000,1443000,1630000,1618000
United Kingdom,GBR,53.8833587148482,-2.65799297938563,311000,310000,335000,356000,366000,368000,332000,375000,265000,298000,281000,281000,275000,254000,254000,311000,322000,290000,295000,299000,304000,290000
Argentina,ARG,-35.2201719959357,-65.149543390921,494480,535150,514310,745010,600028,552695,636980,656440,715655,634301,608676,631736,527573,572493,601099,481189,362180,458749,463124,320455,365226,534100
Kazakhstan,KAZ,48.1916620924959,67.2846086074656,2080000,1960000,2060000,1725700,1808000,1820000,1250500,1203200,1077700,1177500,1692000,2090000,2178000,2300000,2250000,2350000,2000000,2700000,2700000,2625000,2355000,2230000
Iran (Islamic Republic of),IRN,32.5189173176254,54.2854514968914,891577,840939,814363,784663,781075,766289,587643,632489,688588,773884,794766,819060,861889,768800,895565,651025,824274,872342,790748,810837,793599,734080
Poland,POL,52.1482602193319,19.3110143084487,612500,606700,602000,645000,675000,680000,675000,690000,690000,640000,612000,612000,588000,590000,570000,585000,585000,610000,605000,638000,600000,600000
Italy,ITA,43.472476107586,12.2194764873985,657000,610000,594000,599000,569000,539000,475000,478000,466000,650000,600000,600000,600000,600000,600000,600000,543000,428000,361000,317000,317000,325000
Egypt,EGY,26.5066199997495,29.8444615131244,164218,159651,189969,183095,188027,181585,178459,184745,175635,166997,189543,197053,225688,231615,205376,220797,240353,231773,231290,240522,178000,217000
Spain,ESP,40.3486561062267,-3.61702060238737,360000,351600,361992,391288,374060,355000,420100,445000,445111,403600,411400,506956,523000,440000,424000,351870,407712,336553,365140,338820,410486,407833
Romania,ROU,45.857101035738,24.9432524946354,631000,665800,678700,694630,929000,803500,517000,446000,525361,680977,551515,456940,648999,696221,570524,546063,591519,603017,606545,545621,560062,589860
Morocco,MAR,29.8853946983021,-8.42047954454964,231040,304970,196790,321240,249290,308700,269060,290160,270060,262540,298890,306370,296580,310670,257190,285810,297760,285240,308800,314200,320423,298620
Brazil,BRA,-10.8067736434989,-53.0543400357671,130923,125127,88089,155179,131282,121022,106613,130536,146894,178916,212108,238924,200888,150579,157680,202762,207296,185527,184955,165045,188028,231281
Mexico,MEX,23.9353719022448,-102.576349523987,94428,106973,101700,89575,87793,82633,73942,74938,73070,69080,65446,56186,68691,70020,96108,98077,114324,73561,75061,61847,71720,72975
Algeria,DZA,28.1854812786575,2.59804779161835,135050,124100,124100,146000,146000,188997,166367,168922,164542,158009,155789,153300,153300,153300,153300,153300,153300,153300,153300,153300,153300,153300
Iraq,IRQ,33.0368223410367,43.7569114187134,209352,187824,159640,156000,146120,161928,166400,210000,222358,280000,300000,300000,405000,432000,304000,229648,189368,225000,240000,240000,285000,285000
Belgium,BEL,50.6524426064521,4.5808315906517,32567,32642,33893,35204,36656,38372,30561,36336,37000,37000,35734,38000,38000,38000,39259,42397,39412,42938,40167,38710,40853,40608
Netherlands,NLD,52.2987003744418,5.5122171009654,20000,21000,23000,24000,24000,24000,36000,35000,37000,37000,46000,48000,37000,82000,78000,121000,99000,110000,94000,95000,96000,98000
Japan,JPN,36.019075365944,136.881947315984,22000,17000,16000,16000,19000,16000,17000,17000,19000,15000,20000,18000,21000,21000,19000,21000,20000,20000,20000,20000,20000,20000
Indonesia,IDN,-0.254301557222141,114.022683532525,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Republic of Korea,KOR,36.4275986041549,127.821317128331,66,70,277,334,221,165,184,110,110,217,394,455,287,209,231,306,608,1506,1565,1136,885,862
Philippines,PHL,15.7509443494214,121.54444242782,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Nigeria,NGA,9.54831841820997,7.99512775408979,700,750,1000,1150,1250,2450,2510,2600,2600,2750,2800,2900,3000,3150,1300,1600,2400,3300,4950,4500,4000,4000

