Country,ISO3.Code,LAT,LON,markets,commodities,GatherMonthMajor,ProdPlusStockVariation.1992,ProdPlusStockVariation.1993,ProdPlusStockVariation.1994,ProdPlusStockVariation.1995,ProdPlusStockVariation.1996,ProdPlusStockVariation.1997,ProdPlusStockVariation.1998,ProdPlusStockVariation.1999,ProdPlusStockVariation.2000,ProdPlusStockVariation.2001,ProdPlusStockVariation.2002,ProdPlusStockVariation.2003,ProdPlusStockVariation.2004,ProdPlusStockVariation.2005,ProdPlusStockVariation.2006,ProdPlusStockVariation.2007,ProdPlusStockVariation.2008,ProdPlusStockVariation.2009,ProdPlusStockVariation.2010,ProdPlusStockVariation.2011,ProdPlusStockVariation.2012,ProdPlusStockVariation.2013
Northern America,CAN,57.7487688035733,-101.569822125212,market,wheat,6,31422479,27098212,29141022,24761112,24711413,26198168,25751402,24490473,26301188,25058341,20499210,19272833,24369952,22170450,26588182,23904505,22137012,26364326,24572942,23844801,25511731,28079843
South America,ARG,-35.2201719959357,-65.149543390921,market,wheat,12,16242755,15266262,14314347,17491818,12291971,20781535,20730690,18406202,19690000,21299856,19675728,18018449,24889884,24617692,22273752,21733583,23303480,21494495,21060899,26396664,29285784,17693896
Central Asia,KAZ,48.1916620924959,67.2846086074656,market,wheat,9,11009324,13577298,12161398,13905236,13431751,15704440,13863861,14187014,16860468,15576572,19217553,21975594,19778360,20331548,23419368,25467864,23442330,24410545,25547199,23391762,25629076,23795847
Eastern Europe,UKR,48.9730179682021,31.3695330803563,market,wheat,7,43016766,38681594,47395557,49407837,39987451,41682250,46396630,45492631,36669329,44765173,51809655,30265541,42795684,49551389,44909634,39243703,54647933,57774878,50353984,49583605,52466069,58718013
Northern Europe,GBR,53.8833587148482,-2.65799297938563,market,wheat,8,21268920,21161063,22644725,22631276,24440612,26135953,25817220,24529064,25978186,24392890,23936986,26776534,25510387,26617839,25441835,25445350,27044438,27690155,29324199,27189778,26821969,23981466
Western Europe,FRA,46.6064633728632,2.33908864602935,market,wheat,7,52109869,55131616,53163516,57286988,55579315,55154676,58065375,60122170,64018237,62775421,60534924,58432320,59589731,66588388,68219992,58932504,68466259,68219671,66800149,66188306,61114966,66803274
Oceania,AUS,-25.5607640622395,134.376078573618,market,wheat,1,12125835,13579755,16322394,12175122,18459156,23812550,20011811,21635093,22851666,20670025,20608320,15414375,24845087,21000690,22678930,13617112,16050376,20681432,23427097,23870973,30268394,24756560
Russian Federation,RUS,61.6925647074082,99.2165267869251,market,wheat,7,43697068,41336511,34455136,32032170,34729276,33915918,36860154,30840174,34378083,46760030,45366310,38961972,45202315,47471853,44727887,48535231,63321955,61274643,41710298,48399818,45531042,47330346
India,IND,22.9250064074085,79.5937037632538,market,wheat,4,57987699,57924050,59540800,64438563,62786913,64003449,66013275,67931066,74987052,74332492,76402472,74431996,72735419,69309268,67869502,74431337,80177349,78776003,81949582,82309630,85692267,93045783
Pakistan,PAK,29.9734600255474,69.4139980631813,market,wheat,5,15221202,15063356,16819060,15655356,16704601,17409080,17963163,17514821,20185084,20374010,20449298,21280292,20624969,20202102,21724764,22185690,20384833,20162539,22898012,27237185,25041143,24777822
United States of America,USA,39.5015541259931,-99.0602406280213,market,wheat,7,63605836,67456575,63738561,64370893,64633185,56686950,62117579,61303450,61773729,55811721,52870351,58291898,63172113,59116735,54313674,61329276,60590865,50536455,55219737,62029337,60184759,62961159
China,CPR,36.6094323800447,103.865365256658,market,wheat,7,99286535,104683378,103693833,100779392,104174912,110875941,110851298,111491399,110391134,110368581,108466355,108406771,97450380,100420161,105238208,107413424,104188728,104617824,108502039,122550291,119646007,119486969

